iter	Passed	Remaining
272	1144	3047
273	1149	3044
274	1153	3040
275	1157	3036
276	1161	3032
277	1167	3032
278	1177	3041
279	1182	3040
280	1186	3036
281	1190	3031
282	1196	3030
283	1199	3024
284	1206	3025
285	1209	3019
286	1214	3016
287	1217	3010
288	1221	3004
289	1225	2999
290	1228	2994
291	1232	2988
292	1236	2983
293	1240	2977
294	1243	2971
295	1250	2973
296	1255	2971
297	1260	2968
298	1264	2964
299	1267	2958
300	1271	2952
301	1274	2945
302	1278	2939
303	1281	2934
304	1284	2927
305	1288	2921
306	1291	2915
307	1295	2909
308	1298	2903
309	1301	2897
310	1305	2891
311	1308	2885
312	1311	2879
313	1315	2873
314	1318	2867
315	1321	2861
316	1325	2856
317	1329	2851
318	1333	2846
319	1336	2840
320	1340	2834
321	1343	2829
322	1347	2823
323	1350	2817
324	1353	2811
325	1357	2806
326	1360	2801
327	1365	2798
328	1370	2794
329	1374	2789
330	1378	2786
331	1383	2784
332	1390	2784
333	1394	2781
334	1401	2781
335	1406	2778
336	1409	2773
337	1412	2767
338	1416	2761
339	1420	2756
340	1423	2751
341	1427	2747
342	1431	2741
343	1434	2735
344	1439	2732
345	1442	2727
346	1446	2721
347	1449	2715
348	1452	2710
349	1456	2705
350	1460	2701
351	1464	2696
352	1469	2693
353	1474	2690
354	1478	2685
355	1482	2681
356	1487	2679
357	1491	2674
358	1495	2670
359	1499	2665
360	1503	2660
361	1507	2657
362	1511	2652
363	1515	2647
364	1518	2642
365	1522	2637
366	1526	2632
367	1529	2627
368	1533	2621
369	1536	2616
370	1540	2610
371	1543	2605
372	1546	2600
373	1550	2594
374	1553	2589
375	1556	2583
376	1560	2578
377	1563	2573
378	1567	2567
379	1570	2562
380	1573	2556
381	1576	2551
382	1580	2545
383	1583	2540
384	1587	2535
385	1590	2530
386	1593	2524
387	1597	2519
388	1600	2514
389	1603	2508
390	1607	2503
391	1610	2498
392	1613	2492
393	1617	2487
394	1620	2482
395	1624	2477
396	1627	2472
397	1631	2467
398	1634	2462
399	1638	2457
400	1641	2451
401	1644	2446
402	1648	2441
403	1651	2436
404	1654	2431
405	1658	2426
406	1661	2420
407	1664	2415
408	1668	2410
409	1671	2405
410	1674	2400
411	1678	2395
412	1681	2389
413	1684	2384
414	1688	2379
415	1691	2374
416	1694	2369
417	1700	2368
418	1705	2365
419	1709	2360
420	1712	2355
421	1715	2350
422	1719	2345
423	1722	2340
424	1726	2336
425	1730	2331
426	1733	2326
427	1736	2321
428	1740	2316
